,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information
10,11/2/2025,10:05,15,Chinese,,10-60,1:52:30,Yes,,28,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,
1,,0:02:12,T,,,,,,,,,
2,,0:04:52,D,East Great Court Restrooms,1450,1214,1,,,,,
3,,0:00:32,T,,,,,,,,,
4,,0:00:26,D,(great court),1369,1319,1,,,,,
5,,0:00:23,T,,,,,,,,,
6,,0:02:12,D,Reading Room,1371,1189,1,Eng,photos/videos of room,,,
7,,0:00:12,T,,,,,,,,,
8,,0:01:29,D,Reading Room,1305,1198,1,,,,,
9,,0:01:19,T,,,,,,,,,
10,,0:01:15,D,204,1112,1156,1,Eng,"up in front of stone, pictures",,,
11,,0:00:15,T,,,,,,,,,
12,,0:04:25,D,218,1016,1187,1,,"In the way of door to room 7, Assyria exhibits are closed, iPad used to show artifacts",,,
13,,0:00:23,T,,,,,,,,,
14,,0:00:47,D,216,934,1184,1,,spread along closed entrance of room 10,,,
15,,0:00:00,T,,,,,SP Eng,couple members stayed at Nereid Monument for pictures,,,
16,,0:00:05,T,,,,,,,,,
17,,0:00:33,T,,,,,,,,,
18,,0:00:28,D,Tactile Model of Parthenon,788,1076,1,,around scale model of parthenon,,,
19,,0:00:01,D,,,,,,,,,
20,,0:02:13,D,,,,,,,,,
21,,0:00:22,T,,,,,,,,,
22,,0:03:59,D,Elgin Marbles,700,1140,1,,,,,
23,,0:00:34,T,,,,,,,,,
24,,0:02:37,D,East Pediment,721,975,1,SP,couple went to look at other sculptures,,,
25,,0:00:11,T,,,,,,,,,
26,,0:01:19,D,East Pediment,772,973,1,,,,,
27,,0:00:14,T,,,,,,,,,
28,,0:02:10,D,Metopes,654,983,1,,,,,
29,,0:00:23,T,,,,,,,,,
30,,0:00:34,D,Elgin Marbles,738,1103,1,,,,,
31,,0:00:33,T,,,,,,,,,
32,,0:01:15,D,Nereid Monument,849,1111,1,,,,,
33,,0:00:28,T,,,,,,,,,
34,,0:00:42,D,A youth with his horse and dog,896,1185,1,Eng,photos,,,
35,,0:00:00,D,,,,,,,,,
36,,0:00:54,D,The god Hermes,896,1185,1,Eng,photos,,,
37,,0:00:00,D,,,,,,,,,
38,,0:00:33,D,A youth with his horse and dog,896,1185,1,Eng,photos,,,
39,,0:00:09,T,,,,,,,,,
40,,0:02:02,D,Venus,972,1185,1,Eng,photos of item in focus & Athena bust,,,
41,,0:00:04,D,,,,,,,,,
42,,0:00:28,D,,,,,Eng,photos,,,
43,,0:00:05,T,,,,,,,,,
44,,0:01:36,D,243,951,1153,1,,,,,
45,,0:00:44,T,,,,,,,,,
46,,0:01:48,D,The goddess Sekhmet,1058,1218,1,,,,,
47,,0:00:39,T,,,,,Eng,photos of other items,,,
48,,0:01:51,D,206,1083,1344,1,B,,,,
49,,0:00:10,T,,,,,,,,,
50,,0:01:21,D,Tomb relief of Khnumhotep,1058,1383,1,,,,,
51,,0:00:43,T,,,,,,,,,
52,,0:00:48,D,205,1086,1291,1,DT,in path,,,
53,,0:00:01,D,,,,,,,,,
54,,0:00:14,D,Statue of King Tutankhamun II,1086,1291,1,,,,,
55,,0:01:06,T,,,,,,couple members almost went wrong way at rosetta stone intersection,,,
56,,0:02:59,D,203,1110,1041,1,,ipad used,,,
57,,0:00:36,T,,,,,,,,,
58,,0:02:08,D,202,1108,1005,1,,,,,
59,,0:00:09,T,,,,,,,,,
60,,0:00:09,T,,,,,,,,,
61,,0:00:08,T,,,,,,,,,
62,,0:01:24,D,Sarcophagus of Nectanebo II,1090,988,1,,,,,
63,,0:00:03,T,,,,,,,,,
64,,0:00:16,D,Sarcophagus of Hapmura,1081,951,1,,,,,
65,,0:00:08,T,,,,,,,,,
66,,0:01:16,D,201,1083,905,1,,,,,
67,,0:01:12,T,,,,,,,,,
68,,0:01:26,D,161,1302,931,1,,,,,
69,,0:00:18,T,,,,,,,,,
70,,0:01:10,D,162,1356,819,1,Eng,photos,,,
71,,0:00:05,T,,,,,,,,,
72,,0:01:01,D,162 (back of statue),1353,797,1,ST,,,,
73,,0:00:06,T,,,,,,,,,
74,,0:00:31,D,(Talking to group),1370,743,1,,,,,
75,,0:00:07,T,,,,,,,,,
76,,0:01:03,D,165,1362,706,1,,,,,
77,,0:00:56,T,,,,,,,,,
78,,0:08:39,D,(talking to group),1301,408,1,SP,"couple of people went into 33 by accident, ipad used",,,
79,,0:00:00,T,,,,,,,,,
80,,0:12:53,D,(disperse R33),,,,SP,split into China,,,
81,,0:00:17,D,,,,,,,,,
82,,0:02:06,D,,,,,,,,,
83,,0:00:01,D,,,,,,,,,
84,,0:02:33,D,Amitabha Buddha,1301,408,1,,,,,
85,,0:01:31,T,,,,,,,,,
86,,0:02:34,D,(talking to group),1118,722,2,ST,,,,
87,,0:00:00,T,,,,,,,,,
88,,0:05:20,D,(disperse R63),,,,SP,"split into egypt, room 56 got very congested due to multiple groups moving through the center of it at once",,,
89,,0:00:03,T,,,,,,,,,
90,,0:00:57,T,,,,,,,,,
91,,0:02:42,T,,,,,,,,,
92,,0:01:04,D,Marble statue of a youth on horseback,1519,1265,1,,sound systems collected and tour ended,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
