,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information
5,2/4/2025,11:05,15,Japanese,,20-50,0:58:27,Yes,13,12,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,
1,,0:02:02,T,,,,,Eng SP,"lots of photos of Moai, people trying to take photos left behind",,,
2,,0:00:56,D,192,1453,966,1,,,,,
3,,0:01:42,T,,,,,Eng,photos of Great Court,,,
4,,0:01:49,D,(Great Court),1344,1335,1,,"Library was closed, unknown if they planned on going in there",,,
5,,0:00:55,T,,,,,Eng,discussion between guide & group member,,,
6,,0:00:52,D,127,1596,1181,1,Eng,photos,,,
7,,0:00:02,D,,,,,,,,,
8,,0:01:12,D,126,1596,1181,1,,,,,
9,,0:00:15,T,,,,,,,,,
10,,0:02:04,D,Empire and Slavery (Case 14),1607,1130,1,,,,,
11,,0:00:20,T,,,,,,,,,
12,,0:02:31,D,Touch Rosetta Stone,1579,1069,1,ST SP,few people broke off to look at other items in area,,,
13,,0:03:50,T,,,,,,got stuck entering room 4,,,
14,,0:02:24,D,204,1105,1142,1,ST,rosetta stone was very busy,,,
15,,0:00:14,T,,,,,,,,,
16,,0:04:05,D,203,1067,1067,1,DT,in the way around one side of the sarcophagus,,,
17,,0:01:00,T,,,,,,,,,
18,,0:01:22,D,216,964,1174,1,,room 23 was extremely busy such that the entire flow of traffic was blocked for everyone,,,
19,,0:00:59,T,,,,,,movement in was very slow,,,
20,,0:01:21,D,216,925,1216,1,,,,,
21,,0:00:54,T,,,,,,,,,
22,,0:01:58,D,214,899,1284,1,DT B,"in the way of way into reliefs, creating an entire blockade with another group on other wall of room",,,
23,,0:01:57,T,,,,,Eng SP,"people taking pictures of nereid monument, group kept moving, causing a split",,,
24,,0:03:38,D,Elgin Marbles,744,1110,1,,"prop, laminated picture",,,
25,,0:01:38,T,,,,,,,,,
26,,0:00:39,D,Elgin Marbles,709,1097,1,Eng BG,"pictures taken, guide using pointer that was not touching the item",,,
27,,0:00:35,T,,,,,,,,,
28,,0:03:13,D,East Pediment,712,992,1,Eng,photos,,,
29,,0:00:10,T,,,,,,,,,
30,,0:00:30,D,East Pediment,784,988,1,Eng,photos,,,
31,,0:00:17,T,,,,,,,,,
32,,0:01:47,D,Metopes,655,992,1,,,,,
33,,0:00:32,T,,,,,,,,,
34,,0:01:27,T,,,,,,,,,
35,,0:00:04,T,,,,,,,,,
36,,0:00:24,T,,,,,,,,,
37,,0:00:37,T,,,,,,,,,
38,,0:00:08,T,,,,,,,,,
39,,0:00:17,T,,,,,,,,,
40,,0:00:13,T,,,,,Eng SP,entire group fell behind looking at artifacts on the way to next item,,,
41,,0:02:00,T,,,,,,,,,
42,,0:05:03,D,(Top of Stairs Map),863,867,2,ST,somewhat blocking way between rooms,,,
43,,0:00:00,D,,,,,,,,,
44,,0:00:31,D,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,SP,split into egypt,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
