,,,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information,,
16,16/2/2025,1:40,11,Itallian,Italy,20-60,1:52:09,No,27,14,,davidevardanega95@gmail.com,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,,,
1,0:03:28,0:03:28,T,,,,,,,,,,,
2,0:09:46,0:06:19,D,(Great Court),1390,1367,1,ST,,,,,,
3,0:10:21,0:00:35,T,,,,,,,,,,,
4,0:13:35,0:03:14,D,Reading Room,1331,1206,1,,,,,,,
5,0:15:07,0:01:32,T,,,,,,,,,,,
6,0:22:44,0:07:37,D,204,1105,1100,1,SP,group bunched at corner of RS room,,,,,
7,0:23:04,0:00:20,T,,,,,,,,,,,
8,0:30:12,0:07:08,D,203,1101,1067,1,ENG ST,pics; guide is animated and gesturing,,,,,
9,0:31:32,0:01:20,T,,,,,,,,,,,
10,0:37:37,0:06:05,D,Elgin Marbles,694,1178,1,,,,,,,
11,0:38:29,0:00:52,T,,,,,,,,,,,
12,0:42:50,0:04:21,D,216,936,1211,1,,,,,,,
13,0:45:38,0:02:47,T,,,,,,,,,,,
14,0:52:13,0:06:36,D,162,1314,803,1,ST,off to side of Moai,,,,,
15,0:53:40,0:01:26,T,,,,,,,,,,,
16,0:59:22,0:05:43,D,186,947,996,3,,,,,,,
17,1:02:19,0:02:57,T,,,,,,,,,,,
18,1:06:12,0:03:53,D,141,1612,774,1,B ST,,,,,,
19,1:09:16,0:03:03,T,,,,,,,,,,,
20,1:12:03,0:02:48,D,352,1296,778,2,,,,,,,
21,1:12:24,0:00:20,T,,,,,,,,,,,
22,1:19:18,0:06:54,D,(Split),,,,SP,,,,,,
23,1:21:15,0:01:57,T,,,,,,,,,,,
24,1:25:03,0:03:49,D,395,1180,856,2,,,,,,,
25,1:26:25,0:01:22,T,,,,,,,,,,,
26,1:29:36,0:03:10,D,424,1390,887,2,ST B,,,,,,
27,1:30:43,0:01:08,T,,,,,,,,,,,
28,1:30:50,0:00:07,D,(Case 3 Roman),1378,1220,2,,,,,,,
29,1:31:08,0:00:19,D,,,,,,,,,,,
30,1:34:46,0:03:37,D,,,,,,,,,,,
31,1:35:49,0:01:03,T,,,,,,,,,,,
32,1:41:30,0:05:41,D,The Sutton Hoo Ship Burial,1374,1447,2,ENG,many pics,,,,,
33,1:42:00,0:00:30,T,,,,,,,,,,,
34,1:46:35,0:04:35,D,502,1292,1454,2,DENG,some sitting on bench,,,,,
35,1:47:19,0:00:44,T,,,,,,,,,,,
36,1:52:09,0:04:50,D,(Goodbyes),1123,1413,2,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,0.003170462
53,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
