,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information
4,    3/2/2025,10:16,19,Mandarin,,8-35,2:04:48,Yes,12,20,,
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,
1,0:00:37,0:00:37,T,,,,,,,,,
2,0:07:53,0:07:17,D ,North Entrance Restrooms,1278,652,1,,,,,
3,0:08:11,0:00:17,T,,,,,,,,,
4,0:09:15,0:01:04,D ,165,1320,747,1,ENG,members asking Q's,,,
5,0:09:25,0:00:10,T,,,,,,,,,
6,0:10:46,0:01:21,D ,162,1296,821,1,ST,group standing back by stairs,,,
7,0:12:50,0:02:04,T,,,,,,,,,
8,0:15:59,0:03:08,D ,204,1098,1155,1,DT,guide is animated—talking to younger members; standing few paces back from RS; walks couple of paces to talk more,,,
9,0:16:15,0:00:16,T,,,,,,,,,
10,0:18:27,0:02:12,D ,Block Statue of Teti,1052,1157,1,,,,,
11,0:18:56,0:00:29,T,,,,,,,,,
12,0:21:39,0:02:43,D ,216,932,1175,1,,existing tour group is blocking Assyria entrance; guide tells members to get to the side,,,
13,0:21:44,0:00:04,D ,,,,,,,,,
14,0:23:58,0:02:14,D ,,,,,,,,,
15,0:24:33,0:00:35,T,,,,,BG,guy touching end pattern,,,
16,0:29:13,0:04:40,D ,214,888,1278,1,B ST DT,group is pushed to one side; guide looks animated and excited; group is pushed to one side,,,
17,0:30:12,0:00:59,T,,,,,,,,,
18,0:33:25,0:03:13,D ,243,900,1160,1,,guide stands behind group while members look at statue,,,
19,0:33:53,0:00:29,T,,,,,ST,slow getting through doorway,,,
20,0:36:41,0:02:48,D ,142,840,1162,1,SP,intended,,,
21,0:37:21,0:00:39,T,,,,,ST,,,,
22,0:41:21,0:04:00,D ,Tactile model of Parthenon,780,1035,1,DT ST,group crowding by door,,,
23,0:47:41,0:06:20,T,,,,,,,,,
24,0:48:51,0:01:10,D ,Elgin Marbles,708,1059,1,ST SP,"standing back a good bit, however; intended split",,,
25,0:48:51,0:00:00,T,,,,,,,,,
26,0:52:11,0:03:20,D ,East Pediment,718,970,1,,,,,
27,0:53:34,0:01:23,T,,,,,,,,,
28,0:53:37,0:00:03,T,,,,,,,,,
29,0:54:27,0:00:50,T,,,,,,,,,
30,0:54:43,0:00:16,T,,,,,,,,,
31,0:55:27,0:00:44,T,,,,,,,,,
32,0:58:41,0:03:14,D ,Decorations of Assyrian Palaces,1100,1075,1,BG,touching artifact,,,
33,58:48.9,0:00:08,T,,,,,,,,,
34,03:20.6,0:04:32,D ,203,1079,1049,1,BG DENG,touching artifact; phones,,,
35,04:01.0,0:00:40,T,,,,,,,,,
36,1:06:48,0:02:47,D ,Sarcophagus of Nectanebo II,1086,968,1,,,,,
37,1:06:55,0:00:07,T,,,,,,,,,
38,1:07:54,0:00:59,D ,Sarcophagus of the 'God's Wife' Ankhnegneferibra,1088,928,1,,,,,
39,1:08:16,0:00:22,T,,,,,,,,,
40,1:09:35,0:01:19,D ,201,1090,897,1,,,,,
