,,,,,,,,,,,,
Group ID,Date,Start Time,Group Size,Language,Region,Age Range,Length,Amplification,# Galleries Visited,# Works Stopped At,Tour Company,Tour Guide Contact Information
15,2/16/2025,10:08,20,Spanish,,10-60,2:24:53,no,15,17,,ALBACANTA20JAS@GMAIL.COM
Lap #,Visit Time,Dwell/Travel Time,Travel/Dwell,Object,X Location,Y Location,Floor,Tags,Notes,,,
1,,0:00:40,T,,,,,,,,,
2,,0:02:35,D,(Stairwell platform),1228,538,1,SP,"Started as a group of ~35, split into 2 groups and we followed the first one that split off",,,
3,,0:00:40,T,,,,,,,,,
4,,0:10:11,D,(Great court),1504,954,1,,,,,
5,,0:03:46,T,,,,,Eng,photos,,,
6,,0:04:48,D,392,1104,824,2,,,,,
7,,0:00:20,T,,,,,,,,,
8,,0:04:50,D,393,1175,867,2,SP,"packed in between cases of artifacts, group let to explore area after explanation",,,
9,,0:00:00,T,,,,,,,,,
10,,0:01:04,D,(Disperse R56),,,,,,,,
11,,0:00:01,D,,,,,,,,,
12,,0:02:33,D,395,1203,868,2,,,,,
13,,0:00:45,T,,,,,SP Eng,people lingered in the places along way to look at items,,,
14,,0:03:13,D,402,1291,821,2,,,,,
15,,0:00:39,T,,,,,,,,,
16,,0:11:22,D,(Egypt Intro),1375,824,2,,iPad usage,,,
17,,0:00:00,T,,,,,,,,,
18,,0:18:18,D,"(Disperse R64, 3, 2, 1)",,,,Eng B,photos,,,
19,,0:01:45,T,,,,,,,,,
20,,0:05:10,D,(Talking to group),1139,860,1,,,,,
21,,0:01:04,T,,,,,,,,,
22,,0:00:06,T,,,,,,,,,
23,,0:00:03,T,,,,,,,,,
24,,0:05:41,D,204,1114,1175,1,,off in unoccupied corner of room,,,
25,,0:00:00,T,,,,,,,,,
26,,0:05:29,D,(Dispersed around Rosetta Stone),,,,ST B,group stopping to look at stone from front,,,
27,,0:00:01,T,,,,,,,,,
28,,0:02:55,D,(Talking to group),1061,1168,1,,,,,
29,,0:01:01,T,,,,,,,,,
30,,0:04:00,D,242,849,1167,1,DT,in middle of room in circle,,,
31,,0:00:00,D,,,,,,,,,
32,,0:00:51,D,Three Nereids,849,1167,1,Eng,"photos, group picture",,,
33,,0:00:47,T,,,,,,,,,
34,,0:02:49,D,Elgin Marbles,711,1099,1,,,,,
35,,0:00:27,T,,,,,,,,,
36,,0:10:16,D,East Pediment,775,987,1,,,,,
37,,0:00:33,T,,,,,,,,,
38,,0:02:33,D,Elgin Marbles,716,1070,1,,,,,
39,,0:01:13,T,,,,,,,,,
40,,0:02:31,D,216,929,1210,1,,,,,
41,,0:00:48,T,,,,,,,,,
42,,0:05:10,D,214,915,1356,1,ST,,,,
43,,0:00:57,T,,,,,,,,,
44,,0:01:12,D,(Talking to group),952,1187,1,DT,,,,
45,,0:00:25,T,,,,,,,,,
46,,0:04:31,D,203,1082,1095,1,ST,iPad usage,,,
47,,0:01:31,T,,,,,,,,,
48,,0:04:16,D,201,1082,901,1,Eng,"talking, nodding",,,
49,,0:01:41,T,,,,,,,,,
50,,0:03:42,D,162,1390,923,1,,,,,
51,,0:00:32,T,,,,,,,,,
52,,0:04:49,D,(Living and Dying),1320,746,1,,"iPad usage, group applauded guide, end of tour",,,
53,,0:00:19,T,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
